0N, 1N, 2N, 3N, 4N, 0c, 1c, 2c, 3c, 4c
4.542470666666666546e+00,6.410931849009851025e-01,7.156284875049565564e-01,9.083929073982747182e-01,1.115657857849308376e+00,4.549538992715444152e+00,6.486421084108521251e-01,7.506211289999841219e-01,9.419728192850571613e-01,1.115657857849308821e+00
4.542470666666666546e+00,1.290372450759801115e+00,1.967240392379871583e+00,2.650841135132735893e+00,3.653279732511109046e+00,4.557472963930546683e+00,1.323462148041876008e+00,2.119748049281954039e+00,3.027379919975329958e+00,3.653279732511106381e+00
4.542470666666666546e+00,7.999427437338249014e-01,8.280825547067428571e-01,9.849497682406676002e-01,1.193999999999999728e+00,4.566198666666665851e+00,8.406141572571981246e-01,1.207089796825907335e+00,1.271191967186071858e+00,1.194000000000000616e+00
4.542470666666666546e+00,1.917767749946062139e+00,3.331722103940329749e+00,4.548257197249827577e+00,5.139266666666667760e+00,4.919927999999998747e+00,2.835679428026432358e+00,4.651434502717088471e+00,4.971247271525595757e+00,5.139266666666665984e+00
4.542470666666666546e+00,3.834503115049845978e-01,1.755630002443389903e-01,1.417836480045702174e-01,1.608383618076381916e-01,4.543119029074548898e+00,3.846135339576173262e-01,1.778152826696255684e-01,1.444405060313771472e-01,1.608383618076380805e-01
